,unique_id,lon,lat,primary_category: identified by event frequency,primary_category: identified by the number of ELP days
0,0,21.615341751887435,38.11503894128266,1,1
1,3,21.655906317188958,38.108922796819314,1,1
2,12120,21.588300673551355,37.97048598456005,1,1
3,12378,21.51077135015782,38.08776423376298,1,1
4,12490,21.510072850210285,38.08931943843287,1,1
5,38236,21.57080238295606,37.928688916247864,1,1
6,38237,21.511074683613643,38.0913676654764,1,1
7,38245,21.508160543387465,38.09122943989499,1,1
8,38270,21.51995660726661,38.10373866980414,1,1
9,38285,21.600593802214053,38.113288480513305,1,1
10,38291,21.615759487175097,38.12195007800517,1,1
11,38300,21.508473234488303,38.09219694702996,1,1
12,38309,21.697749274899426,38.08460770496592,1,1
13,38314,21.512324622517923,37.95374520852201,1,1
14,38320,21.58389935260238,38.04701325142543,1,1
15,38343,21.66724233585408,38.07752118915051,1,1
16,38386,21.67182809630131,38.086112339764284,1,1
17,38392,21.589170308788464,38.012277090733896,1,1
18,38412,21.66603238253375,38.082499062976936,1,1
19,38421,21.744441036238584,38.07080535083551,1,1
20,38446,21.68729761144058,38.12116516947731,1,1
21,38447,21.610261063293233,38.108180952064004,1,1
22,38457,21.604008095245636,38.10949010055362,1,1
23,38459,21.702618306778547,38.088693775522984,1,1
24,38461,21.664818357111393,38.08129330583503,1,1
25,38525,21.543772547596394,38.11470687575445,1,1
26,38534,21.741879231466417,38.089861265717936,1,1
27,38536,21.675594385735234,37.951880779616886,1,1
28,38728,21.720613553849038,38.11178117887012,1,1
29,41049,21.514925282537995,37.95087259032706,1,1
30,51239,21.545346572757794,38.10085311286085,1,1
31,52319,21.59002792829929,37.88148643288012,1,1
32,68725,21.655906317188958,38.108922796819314,1,1
33,68727,21.615341751887435,38.11503894128266,1,1
34,1,6.379805724223541,50.19184371950011,7,7
35,9759,6.377185456257685,50.193538729743615,7,7
36,10072,6.378314058447618,50.1948489995538,7,7
37,10803,6.335468532433902,50.28928021679008,7,7
38,30659,6.39832075885968,50.15433089894965,7,7
39,30705,6.4128551246528405,50.13526273757544,7,7
40,64598,6.471786219945576,50.21145704381058,7,7
41,64890,6.4008181324984506,50.15454762708147,7,7
42,2,-0.8951824215187812,52.03851528854669,7,7
43,12542,-0.8635893656791642,52.01741403001286,7,7
44,65318,-0.9181549771485923,52.105093598095685,7,7
45,65509,-0.9186600497998334,52.10753649854557,7,7
46,65619,-0.9219297802484759,52.10635635771748,7,7
47,65943,-0.9255006404383298,52.00791340382969,7,7
48,66095,-0.8218083644772607,52.084173156174074,7,7
49,66117,-0.9274796262979808,52.00834132126117,7,7
50,67530,-0.89586528894486,52.04000481171154,7,7
51,67654,-0.8944264679656694,52.03997929933034,7,7
52,67662,-0.9326177962815789,52.10440248932042,7,7
53,68204,-0.8920149103857513,52.04017728603785,7,7
54,68225,-0.9267164556511942,52.1058829066858,7,7
55,68728,-0.8951824215187812,52.03851528854669,7,7
56,4,14.27999810295134,50.517347831358165,7,7
57,670,14.310222851351925,50.49384095634544,7,7
58,687,14.311599377168678,50.49174235452506,7,7
59,744,14.306065019065066,50.48363801782625,7,7
60,54072,14.387138887416299,50.458552767822574,7,7
61,54278,14.321906273491953,50.58409720067183,7,7
62,54433,14.396288255204695,50.419811608555,7,7
63,54475,14.313633407086801,50.57446535466323,7,7
64,54504,14.290167224726828,50.427735219080596,7,7
65,54551,14.334615566365658,50.44650211423874,7,7
66,54635,14.252881905466836,50.45752218268406,7,7
67,68723,14.27999810295134,50.517347831358165,7,7
68,5,-5.37590999960923,41.0225344541509,1,1
69,11077,-5.476213257445565,41.06148968816624,1,1
70,11309,-5.437615175176113,41.05414384229436,1,1
71,55079,-5.272298888891392,40.87824292508902,1,1
72,55126,-5.4759673463775185,41.06047182284871,1,1
73,55173,-5.460268072743094,41.09474962490928,1,1
74,55178,-5.43362150664194,41.03224023374432,1,1
75,55197,-5.39233754093975,41.0795546409977,1,1
76,55391,-5.389228740767435,40.88166001164358,1,1
77,68724,-5.37590999960923,41.0225344541509,1,1
78,6,-6.215531253302286,38.5681661776054,1,1
79,54467,-6.1562468740482865,38.48384519183783,1,1
80,54644,-6.216726872815379,38.56548030347018,1,1
81,54661,-6.159145142082072,38.48210049432529,1,1
82,54808,-6.2164379776825385,38.567872822506416,1,1
83,63046,-6.229692454738154,38.47286700666151,1,1
84,68726,-6.215531253302286,38.5681661776054,1,1
85,8,15.719208041883526,46.74365357770163,7,7
86,62,15.601426042377437,46.79306336793178,7,7
87,65,15.598908998658779,46.79118453933289,7,7
88,68,15.729769379963518,46.82480574613702,7,7
89,9,12.611383084154363,46.78056655964448,1,1
90,11,15.654070666737743,48.654999388364246,7,7
91,12,14.679935137329492,48.0787948945862,7,7
92,67,14.679912345912989,48.07712112940432,7,7
93,53960,14.503143152878653,48.08496532758895,7,7
94,13,16.367761892102564,48.14096545032213,7,7
95,53936,16.46084251317365,48.20043597379367,7,7
96,60866,16.36514496622351,48.13227085838956,7,7
97,14,16.66930761995765,48.344591246622535,7,7
98,15,15.696943563940122,48.469148000428305,7,7
99,52330,15.715219394264535,48.39305721949045,7,7
100,16,14.057988505848742,48.189219303038335,7,7
101,17,14.38713666021705,47.51956869612337,7,7
102,76,14.474587099127302,47.528544107922464,7,7
103,18,14.588655606232647,47.4858094456766,7,7
104,19,16.242855455637045,48.37910517450686,7,7
105,20,13.40681628594399,47.34555785351691,7,7
106,60739,13.409921707125383,47.345200054617315,7,7
107,21,13.06377395587853,47.98751909119489,7,7
108,53926,13.178937202576867,47.94536261200939,7,7
109,22,16.307129148045217,48.10853830240993,7,7
110,64,16.33741055206606,47.969628070430396,7,7
111,71,16.356657526094867,48.027989113429236,7,7
112,74,16.361288703088928,47.99577920429579,7,7
113,52302,16.330415213117462,48.09400400571854,7,7
114,52623,16.35402580280453,48.00432654694558,7,7
115,52994,16.35394697088759,48.001803634586345,7,7
116,60886,16.476306199868798,48.12301160842315,7,7
117,23,14.338641737211171,48.1267178378029,7,7
118,24,14.630047844050516,47.174281525824036,7,7
119,25,16.59206710581434,47.810995425288525,7,7
120,26,12.97767751351547,47.86244299713074,7,7
121,9753,12.75620233804076,47.8453853180515,7,7
122,27,45.45216984835635,39.34648864395544,1,1
123,28,45.44760724382038,39.33881317186639,1,1
124,29,49.55321311649162,40.21653937777662,7,7
125,31,43.863958022720766,40.37072751548346,1,1
126,52165,43.756748984753244,40.175423741191295,1,1
127,39,63.91091424382129,29.662572466216723,1,1
128,40,61.757098374919046,31.62473990804974,1,1
129,41,65.43689785656481,32.921699754817496,1,1
130,46,5.018905657499018,51.11210676884719,7,7
131,118,5.240768510020849,50.99418510236231,7,7
132,127,5.094682762984123,51.09622482940334,7,7
